"FIPS","name","state","pop2010","pop2000","age_under_5","age_under_18","age_over_65","female","black","hispanic","white_not_hispanic","no_move_in_one_plus_year","foreign_born","foreign_spoken_at_home","hs_grad","bachelors","mean_work_travel","home_ownership","housing_multi_unit","median_val_owner_occupied","persons_per_household","per_capita_income","poverty","sales_per_capita","median_household_income","fed_spending","density","area"
1021,"Chilton County","Alabama",43643,39593,6.9,25.1,13.6,50.5,9.7,7.8,81.1,88.1,4,6,75.9,12.2,32,75.1,4.4,103700,2.59,20517,18.4,8496,39486,276001,63,692.85
1023,"Choctaw County","Alabama",13859,15922,5.4,22.7,18.2,51.7,43.4,0.5,55.6,92.1,0.3,1.6,71.1,10.9,34.8,85.6,3.9,63400,2.61,17214,18.7,5969,31076,147465,15.2,913.5
1025,"Clarke County","Alabama",25833,27867,5.7,24.7,16.2,52.7,43.9,1,54,93.5,0.2,1.1,76.1,13.5,25.1,80,6.3,73300,2.84,17372,29.2,13034,27439,252684,20.9,1238.47
1027,"Clay County","Alabama",13932,14254,5.7,22.6,17.6,51,14.8,2.9,80.3,84.9,2,2.8,71.4,9.5,27.3,72.8,11.2,82900,2.24,18332,18.8,5123,35595,125147,23.1,603.96
1029,"Cleburne County","Alabama",14972,14123,6.3,23.7,15.8,50.2,3.3,2.1,93.2,86.1,1.2,1.8,70.3,8.4,29.1,74.9,5.3,87900,2.71,17490,17.1,9080,36077,102409,26.7,560.1
1031,"Coffee County","Alabama",49948,43615,6.6,24.2,14.4,50.6,16.7,6.4,72.3,80.9,4.6,6.3,79.3,22.1,20.7,69.7,13.6,116700,2.51,22797,17.2,13665,42253,1015477,73.6,678.97
1033,"Colbert County","Alabama",54428,54984,5.8,22.1,17.4,51.9,16.1,2,79.6,85,1.6,2.6,80.1,16.4,22.7,73.5,12.3,94700,2.41,21079,15.7,15040,39610,527282,91.8,592.62
1035,"Conecuh County","Alabama",13228,14089,5.9,23,17.9,51.5,46.5,1.2,51.1,95.9,0,1,71.3,9.7,25.2,81.6,6,72500,2.74,15755,30.6,5430,26944,146576,15.6,850.16
1037,"Coosa County","Alabama",11539,12202,4.9,20.5,17.1,50.4,31,2,65.9,88.6,0.6,1.4,73.1,10.6,30.2,83.7,1.9,73100,2.43,19209,16,1904,35560,90463,17.7,650.93
1039,"Covington County","Alabama",37765,37631,6,22.6,18.4,51.6,12.5,1.3,84.1,88.3,1.5,2.2,76.5,13.1,20.8,74,6.1,85700,2.54,19822,19,11544,33852,357327,36.6,1030.46
1041,"Crenshaw County","Alabama",13906,13665,6,23.8,15.9,51.7,23.4,1.5,72.1,89.1,4.1,4.6,73.7,10.1,27.4,67.8,9.2,71900,2.46,19793,17.7,5491,35140,134197,22.8,608.84
1043,"Cullman County","Alabama",80406,77483,6.1,23.2,15.9,50.6,1.1,4.3,92.7,85.3,2.6,4.2,76.9,13.8,27.4,74.7,8.5,102200,2.51,20284,16.7,10757,38567,624001,109.4,734.84
1045,"Dale County","Alabama",50251,49129,7.3,24.8,13.5,50.6,19.3,5.6,71.1,76.5,3.6,6.2,82.2,17.5,20,61.2,13.2,93900,2.49,21722,14.8,6889,43353,1295209,89.6,561.15
1047,"Dallas County","Alabama",43820,46365,7.3,26.5,14.1,53.8,69.4,0.7,28.9,85.8,0.7,1.4,76.8,14.3,24.7,62.6,16,70300,2.6,16646,31.8,10223,26029,611206,44.8,978.7
1049,"DeKalb County","Alabama",71109,64452,7.1,25.8,13.9,50.6,1.5,13.6,81.6,87.4,7.2,10.4,68.1,10.9,23.1,77.5,6.4,84400,2.65,18152,20,9303,35065,447088,91.5,777.09
1051,"Elmore County","Alabama",79303,65874,6.1,23.6,11.9,51.2,20,2.7,75,83.2,2.2,3.7,83.8,20.2,27.5,77.6,7,136500,2.55,22640,12.4,7982,53128,507314,128.2,618.49
1053,"Escambia County","Alabama",38319,38440,6.2,22.6,15.2,48.4,31.9,1.9,61.3,88.4,1.1,1.6,73,10.9,24.6,73.5,7.8,83800,2.51,16259,24.4,10089,31927,299086,40.5,945.08
1055,"Etowah County","Alabama",104430,103459,5.9,23,15.8,51.5,15.1,3.3,79.3,83.4,2.3,3,81.2,15.8,23.6,73,11.9,98200,2.46,20439,16.8,10801,36422,966534,195.2,534.99
1057,"Fayette County","Alabama",17241,18495,5.8,22.3,17.9,50.7,11.4,1.2,86,87.2,0.5,1.4,74.7,9.5,27.2,76,7.9,71500,2.39,17711,17.9,7433,34560,140438,27.5,627.66
1059,"Franklin County","Alabama",31704,31223,7.1,24.8,15.2,50.1,3.9,14.9,79.6,84.6,7.9,11.6,69.6,11.8,24.4,69.2,10.4,78200,2.49,18094,19.5,8786,33942,305125,50,633.82
1061,"Geneva County","Alabama",26790,25764,5.9,22.4,17.4,51.1,9.5,3.4,84.7,84.5,1.6,3,72.3,8,26.1,71.6,6.6,77200,2.44,18351,16.3,6612,34140,250317,46.6,574.41
1063,"Greene County","Alabama",9045,9974,6.1,24.3,16.1,52.8,81.5,0.8,17.3,88.4,0.9,1.3,72.6,9.9,25.1,71.1,11.1,71500,2.57,14738,30.8,3697,22222,117112,14,647.11
1065,"Hale County","Alabama",15760,17185,6.1,24.8,15,52.6,59,0.9,39.4,88.7,0.9,1.8,69.9,10,28,74.3,6.1,70600,2.76,16523,24.6,4794,29299,177021,24.5,643.94
1067,"Henry County","Alabama",17302,16310,5.4,22.6,17.6,52,28.6,2.2,67.8,92.9,2.5,3.4,76.1,15,23.3,81.9,3.2,89700,2.56,19716,15.1,5559,38379,152058,30.8,561.75
1069,"Houston County","Alabama",101547,88787,6.6,24.5,14.5,52,25.8,2.9,68.7,85.8,2.2,4.1,81.9,19,19.7,67.4,15.2,116300,2.57,22725,16.8,19608,41022,749924,175.1,579.82
1071,"Jackson County","Alabama",53227,53926,5.6,22.5,16.5,50.9,3.3,2.5,90.1,89.8,1.5,2.9,74,12,26.2,76.6,5.8,86300,2.51,18905,17.5,7784,36312,664456,49.4,1077.87
1073,"Jefferson County","Alabama",658466,662047,6.7,23.5,13.1,52.6,42,3.9,51.7,83,4.1,5.7,86.6,28.8,23.3,66.8,24,138300,2.47,26529,15.5,16730,45244,6996508,592.5,1111.28
1075,"Lamar County","Alabama",14564,15904,5.9,22.2,18.8,51.3,11.3,1.2,86.1,88.3,0.2,1,75.3,9.2,25.5,75.1,9,68200,2.43,19789,18.5,4887,33887,145136,24.1,604.85
1077,"Lauderdale County","Alabama",92709,87966,5.6,21.6,16.8,52.1,10,2.2,85.5,84.9,1.8,2.8,82.9,21.5,23.5,73,14.7,107400,2.38,22341,17.7,12783,39345,751511,138.8,667.7
1079,"Lawrence County","Alabama",34339,34803,6.3,23.2,14.6,51.1,11.5,1.7,76.9,90.2,1.7,2.1,75.2,10.7,26.1,78.7,5.1,97600,2.54,19370,13.6,4889,40516,228456,49.7,690.68
1081,"Lee County","Alabama",140247,115092,6.2,22.5,9.1,50.7,22.7,3.3,69.8,76.4,4.9,6.6,85.2,30.9,20.3,64.2,23.3,139500,2.41,22794,19.2,11099,40894,772183,230.8,607.54
1083,"Limestone County","Alabama",82782,65676,6.5,24,12.3,49.4,12.6,5.5,78.7,85.8,3.5,5.7,80.4,20.8,25,77.1,9.4,122300,2.52,24007,13.5,9785,46682,515413,147.8,559.94
1085,"Lowndes County","Alabama",11299,13473,6.6,24.2,14.6,53.2,73.5,0.8,25.1,91.4,0.3,0.8,73.4,12.7,35.4,75.4,7,64000,2.76,16524,27.3,8184,29714,114440,15.8,715.91
1087,"Macon County","Alabama",21452,24105,5.4,20.6,14.1,54.2,82.6,1.1,15.2,81.1,0.5,2.8,78.8,20.9,22.8,68,15.5,79200,2.33,16380,27.4,3932,27544,319158,35.2,608.89
1089,"Madison County","Alabama",334811,276700,6.2,23.7,12.2,50.9,24,4.6,66.1,83.1,5.5,6.7,87.8,37.4,20.8,70.4,21.4,155600,2.49,29918,12,14145,55851,9978211,417.7,801.59
1091,"Marengo County","Alabama",21027,22539,6.2,24.7,16.3,52.9,51.7,1.7,45.7,87.9,0.3,0.9,79.7,17.9,21.1,73.5,8.3,79000,2.46,18323,22.7,9274,32940,212401,21.5,976.88
1093,"Marion County","Alabama",30776,31214,5.6,21.7,18.3,50.3,3.8,2.1,92.6,87.8,1.5,2.8,71,8.8,23.7,75.8,10.9,74700,2.34,19030,17.8,7116,32769,266705,41.5,742.29
1095,"Marshall County","Alabama",93019,82231,7,25,14.9,50.7,1.6,12.1,83.9,84.2,7.4,10.2,73.7,14.5,24.4,72.5,9.3,101300,2.62,19875,19.9,15434,37661,714306,164.4,565.84
1097,"Mobile County","Alabama",412992,399843,6.8,25.1,12.9,52,34.6,2.4,59.1,85.7,3.2,4.8,82.3,19.8,24.1,68.4,17.7,120700,2.61,21548,19.2,12895,40996,4379855,335.9,1229.44
1099,"Monroe County","Alabama",23068,24324,6,25.3,15.7,51.8,41.7,1,54.7,91.3,1.3,2.3,75.4,11.2,23.4,73.8,6,80400,2.51,17652,25.4,9342,30235,200300,22.5,1025.68
1101,"Montgomery County","Alabama",229363,223510,6.9,24.5,12,52.4,54.7,3.6,38.4,79.6,3.9,5.4,84.7,30.5,19.7,63.2,22.4,121000,2.46,24622,18.9,14351,43725,5085747,292.5,784.25
1103,"Morgan County","Alabama",119490,111064,6.3,24,14.1,50.7,11.9,7.7,77.5,86.1,5.1,6.7,80.8,19.1,22.9,73.1,13.7,115300,2.5,23090,15,14222,44349,819697,206.3,579.34
1105,"Perry County","Alabama",10591,11861,6.4,24.1,16.7,53,68.7,1.1,29.7,87.3,0.1,0.9,71.5,13.3,29.1,67.8,11.4,61000,2.55,13433,28.8,3181,25950,130849,14.7,719.66
1107,"Pickens County","Alabama",19746,20949,6,23.3,16.9,52.3,41.6,1.6,55.8,93.2,0.5,1.5,78.7,11.5,29.9,74.1,10.1,81100,2.46,16278,26.9,5805,28280,214959,22.4,881.41
1109,"Pike County","Alabama",32899,29605,5.6,20.3,12.8,52.3,36.6,2.2,57.4,77.9,3.9,5.7,79.4,23.7,19.5,56.3,18.7,93900,2.38,19013,28.6,12189,29181,303446,48.9,672.09
1111,"Randolph County","Alabama",22913,22380,6,23.9,17,51.5,20.1,2.8,75.4,85.6,1.5,2.9,71.6,12.2,26.9,75.9,4.8,88100,2.59,19844,21.5,7209,34593,188182,39.5,580.55
1113,"Russell County","Alabama",52947,49756,7.6,25.5,12.7,52.2,41.8,3.7,52.1,78.9,1.5,3.7,76.9,11.9,22.3,62.3,17.8,93300,2.53,17415,23.3,8526,32481,449151,82.6,641.14
1115,"St. Clair County","Alabama",83593,64742,6.6,23.7,13.1,49.9,8.6,2.1,87.3,85.7,1.9,2.8,79.3,14.5,30.1,82.2,5.5,126500,2.64,22192,10.6,7404,48837,479715,132.3,631.9
1117,"Shelby County","Alabama",195085,143293,6.7,25.6,10.6,51,10.6,5.9,80.2,85,5.6,7.5,91.5,39.6,29,80.6,11.4,193900,2.59,33978,7.4,13737,68380,1041343,248.5,784.93
1119,"Sumter County","Alabama",13763,14798,5.5,22.3,15,54.5,75,0.6,24,88.2,0.1,0.5,75.4,12.8,23.8,68.3,14.5,66300,2.77,14460,34.8,4494,25338,187467,15.2,903.89
1121,"Talladega County","Alabama",82291,80321,6,23.4,14.1,51.3,31.7,2,64.5,84.5,1.9,2.5,75.7,11.9,24.6,73,9.6,87000,2.52,18713,18.4,9113,36948,715605,111.7,736.78
1123,"Tallapoosa County","Alabama",41616,41475,5.8,22.2,17.3,51.5,26.6,2.5,69.3,84.3,1.5,2.7,76.1,15.7,23.7,73.3,8.9,91300,2.51,22542,17.5,8881,36904,359711,58.1,716.52
1125,"Tuscaloosa County","Alabama",194656,164875,6,21.5,10.8,51.5,29.6,3.1,65,79.7,3.3,5.9,84.7,26.2,20.3,63.3,25.4,148400,2.61,22546,19.7,13664,42311,1513973,147.3,1321.76
1127,"Walker County","Alabama",67023,70713,5.8,22.5,16.3,51.3,5.9,2,90.4,87.9,1.1,1.4,75.5,9.7,28.8,77.7,6.6,83600,2.6,20516,18.6,13162,37191,681873,84.7,791.19
1129,"Washington County","Alabama",17581,18097,6,25.5,14.7,50.8,24.9,0.9,65.2,91.9,0.5,0.9,78,9.3,32.1,83,2.6,85200,2.58,18824,19.7,4458,36431,137659,16.3,1080.21
1131,"Wilcox County","Alabama",11670,13183,6.1,27,15,52.7,72.5,0.6,26.6,90.2,0.3,0.7,68.5,13.2,25,76.8,6,54200,3.02,12573,38.5,6018,23491,159172,13.1,888.5
1133,"Winston County","Alabama",24484,24843,5.4,21.6,17.7,50.9,0.5,2.6,94.9,84.4,1.5,2,69.3,11.1,25.2,73.8,6.1,83700,2.53,18055,20.6,6853,33685,214085,39.9,612.98
2013,"Aleutians East Borough","Alaska",3141,2697,3.9,11.8,4.9,33.4,7,12.3,13.5,60.7,72.2,80.7,64.1,9.6,4.3,59.2,11.8,121600,2.75,22279,10.4,3309,54375,13979,0.4,6981.94
2016,"Aleutians West Census Area","Alaska",5561,5465,3.7,14.7,3.5,33.1,6,13.1,31.4,69,54.4,64.1,70.4,9,4.6,36.3,30.9,163400,2.74,29920,12.6,9823,72917,57275,1.3,4390.28
2020,"Anchorage Municipality","Alaska",291826,260283,7.5,26,7.2,49.2,5.6,7.6,62.6,77,9.2,16.3,91.9,33,18.2,61.7,35.3,269500,2.66,34678,7.9,16096,73004,4358145,171.2,1704.68
2050,"Bethel Census Area","Alaska",17013,16006,10.6,36.5,6.1,47.7,0.4,1.1,10.9,81.9,0.6,68.7,78.4,13.9,7,61.3,13.9,153400,3.88,18584,18.6,5658,52214,340871,0.4,40570
2060,"Bristol Bay Borough","Alaska",997,1258,4.8,22.6,8.3,45.8,0,2.4,47.7,77.7,0.8,3.6,90.6,15.9,8.7,56.6,13.4,171100,2.56,31260,5,12823,84000,59364,2,503.84
2068,"Denali Borough","Alaska",1826,1893,6.2,22.5,7.5,45.1,0.5,2.3,88.4,85.4,4.9,4.2,95.7,27.5,12.8,60.7,14.1,174000,2.21,42245,4.6,6120,72500,78281,0.1,12751.41
2070,"Dillingham Census Area","Alaska",4847,4922,9.3,32.9,7.6,47.6,0.2,2.1,17.6,85.1,1.5,35.1,82.6,20.2,9.2,60.7,14.1,199100,3.42,22597,18.1,8612,60800,55276,0.3,18568.78
2090,"Fairbanks North Star Borough","Alaska",97581,82840,8.1,25.6,6.5,47.2,4.5,5.8,74.1,74.7,5.1,10.9,92.9,27.1,18,59.8,26.2,206800,2.63,30395,7.6,16072,66598,1644275,13.3,7338.21
2100,"Haines Borough","Alaska",2508,2392,5.1,19.9,13.8,49.2,0.4,1.9,82.2,90.5,0.6,1.5,94,33.1,12.9,74.5,13.2,205400,2.22,27979,7.2,6991,47981,28489,1.1,2318.6
2105,"Hoonah-Angoon Census Area","Alaska",2150,3436,5.8,19.7,13.4,45.8,0.4,3.6,46.2,85.7,2.3,14.4,87.6,27.9,9.7,64,8.6,184200,2.02,24932,15.9,23610,43750,51936,0.3,7524.92
2110,"Juneau City and Borough","Alaska",31275,30711,6.3,23.5,8.4,49,0.9,5.1,67.4,78.7,6.9,10.9,95.3,34.7,15.3,64,32.2,291600,2.52,34923,6.5,15235,75517,1175633,11.6,2701.93
2122,"Kenai Peninsula Borough","Alaska",55400,49691,6.3,23.7,11.3,47.6,0.5,3,82.8,81.9,3.3,10,92.1,22.4,18.4,72.7,12,193000,2.35,29127,9.5,12527,57454,360397,3.4,16075.33
2130,"Ketchikan Gateway Borough","Alaska",13477,14070,6.7,23.9,10.1,48.7,0.6,4,66.2,77.1,7.2,11.1,92.5,24.2,14.2,59.1,36.7,242500,2.36,29520,8.3,20488,61695,809321,2.8,4858.41
2150,"Kodiak Island Borough","Alaska",13592,13913,8.5,28.6,6.7,47,0.7,7.3,52.5,79.1,16.5,23.8,87.7,21.8,13.4,59.2,25.9,182100,2.76,26413,10.9,8274,60776,172657,2.1,6549.58
2170,"Matanuska-Susitna Borough","Alaska",88995,59322,7.8,28.9,7.9,48.3,1,3.7,82.8,83.8,3.2,5.7,91.8,20.8,33.4,79.2,10.1,212000,2.81,27910,9.9,10362,67703,434891,3.6,24607.9
2180,"Nome Census Area","Alaska",9492,9196,10.7,34.3,6.4,46.7,0.3,1.2,15.9,81.7,1.1,27.9,83.8,14.9,5.9,56.2,17.4,144600,3.31,20549,24.6,6785,53899,246246,0.4,22961.76
2185,"North Slope Borough","Alaska",9430,7385,7.9,23.9,4.3,37.4,1,2.6,32.4,82.9,3.4,48.6,73.8,13.5,5.4,48.3,24.9,135800,4.47,22109,11.8,10574,68517,78974,0.1,88695.41
2188,"Northwest Arctic Borough","Alaska",7523,7208,11.7,35.3,6,46.4,0.5,0.8,11,80.2,1.2,35.1,79.6,12.5,7.4,53.7,19.4,129000,3.88,21278,19.7,5599,55217,97176,0.2,35572.58
2195,"Petersburg Census Area","Alaska",3815,6684,6,23.4,11.5,48,0.4,3.4,69.4,86.7,2.5,6.6,95.5,27.4,8.5,76.7,9.5,195300,2.41,30971,9.7,17606,62317,58260,1.2,3281.98
2198,"Prince of Wales-Hyder Census Area","Alaska",5559,6146,7.5,25.6,10.1,44.8,0.3,2.3,49.6,79.5,2.4,5,88.4,17.8,14.2,69,9.7,152100,2.29,24193,14,7514,45728,56974,1.4,3922.87
2220,"Sitka City and Borough","Alaska",8881,8835,7,23.5,11.4,49.5,0.5,4.9,63.5,80.3,7.3,11.6,92.3,29.2,10.1,55.9,24.4,309800,2.36,29982,7,10875,62024,99421,3.1,2870.34
2240,"Southeast Fairbanks Census Area","Alaska",7029,6174,6.9,26.3,9.4,44.3,1.1,3.3,78.7,74.9,5.1,15.7,91.1,20,16.6,65.2,17.3,168700,2.64,27657,10,6906,59596,141904,0.3,24768.81
2261,"Valdez-Cordova Census Area","Alaska",9636,10195,6.4,24.4,8.3,46.6,0.5,3.6,72.1,75.2,4.9,7.6,92.6,23.7,14.3,71.8,17.6,165800,2.42,30703,6.9,8422,60383,127855,0.3,34239.88
2270,"Wade Hampton Census Area","Alaska",7459,7028,12.1,41.6,5.4,47.1,0,0.1,2.7,86.5,0.1,58.1,73.6,7.7,5.4,64.8,4.1,80300,4.28,11269,31.4,5211,37955,105266,0.4,17081.43
2290,"Yukon-Koyukuk Census Area","Alaska",5588,6551,7.9,27.8,10.2,45.8,0.2,1.2,21.8,82.7,0.9,19.1,79.5,11.5,7.7,69.1,2.9,99500,2.61,18614,23.6,7151,33712,157083,0,145504.79
4001,"Apache County","Arizona",71518,69423,8.3,31.7,11.6,50.1,0.2,5.8,20.4,90.6,1.6,61.5,72.1,10.3,26.4,76.3,5.2,80900,3.61,12294,34.4,3997,30184,1573639,6.4,11197.52
4003,"Cochise County","Arizona",131346,117755,6.5,23,17.3,49,4.2,32.4,58.5,79.7,12.3,27,84.8,21.4,19.5,69,12.2,154900,2.51,23010,15.7,10284,44876,2487123,21.3,6165.69
4005,"Coconino County","Arizona",134421,116320,6.7,23.6,8.9,50.4,1.2,13.5,55.2,79.6,5.7,25.2,87,31.1,18,61.2,18.9,257700,2.73,22632,18.6,13273,49510,1230202,7.2,18618.89
4007,"Gila County","Arizona",53597,51335,5.7,21.4,23.2,50.3,0.4,17.9,65.9,87.3,3.1,16.9,83.4,15,18.9,78.3,4.8,156100,2.65,19600,18.9,10545,37580,618574,11.3,4757.93
4009,"Graham County","Arizona",37220,33489,8.6,28.4,11.4,46.3,1.8,30.4,52.3,84.4,5,22.3,81.8,13.4,19.6,72,7.7,119500,2.99,15644,20,11211,41683,285323,8.1,4622.6
4011,"Greenlee County","Arizona",8437,8547,7.8,29.2,12,47.9,1.1,47.9,48.1,82.8,4.4,23.6,89.8,13.4,14.8,46.9,6.1,65800,2.5,21281,13.5,4587,48696,59359,4.6,1843.13
4012,"La Paz County","Arizona",20489,19715,5,18,32.6,48.5,0.6,23.5,62.7,84.5,12.2,17.7,76.9,9,14.6,75.4,3.6,1e+05,1.98,21165,20.3,19588,32147,172345,4.6,4499.63
4013,"Maricopa County","Arizona",3817117,3072149,7.4,26.4,12.1,50.5,5,29.6,58.7,79.4,15.9,26.5,85.6,29,25.7,66.3,25.1,238600,2.68,27816,13.9,15153,55054,32502698,414.9,9200.14
4015,"Mohave County","Arizona",200186,155032,5.5,20.6,23.3,50,0.9,14.8,79.6,79.3,6.4,10.7,83,12,19.4,71.5,9.8,170600,2.44,21523,16.1,14489,39785,1422615,15,13311.08
4017,"Navajo County","Arizona",107449,97470,8.1,29.8,13.3,50,0.9,10.8,43.9,85.7,2.6,36.6,80.5,14.4,21.8,72.5,7,134300,2.97,16745,24.4,11148,39774,1177146,10.8,9950.42
4019,"Pima County","Arizona",980263,843746,6.4,23,15.4,50.9,3.5,34.6,55.3,78.8,13.2,28.2,86.8,29.6,23.9,64.6,22.9,198300,2.46,25093,16.4,11969,45521,13270204,106.7,9187.04
4021,"Pinal County","Arizona",375770,179727,8,26.5,13.9,47.5,4.6,28.5,58.7,77.7,10.5,23.3,83.7,17.9,32.4,77.7,6.3,164000,2.56,21716,13.5,6718,51310,1799122,70,5365.61
4023,"Santa Cruz County","Arizona",47420,38381,7.8,30.7,13.1,52.4,0.4,82.8,16,91.1,33.5,81.1,70.9,17.3,19,71,17.6,148200,3.79,16209,25.2,15958,36519,445037,38.3,1236.92
4025,"Yavapai County","Arizona",211033,167517,5,19.1,24.1,51,0.6,13.6,82,81.8,7.2,11.2,89.4,23.7,21.7,72.5,11,231000,2.3,25527,13.7,12714,43290,1615727,26,8123.5
4027,"Yuma County","Arizona",195751,160026,7.7,28.2,15.7,49.9,2,59.7,35.3,81.7,25.6,50.2,71.6,13.3,19.1,69.6,12.5,142400,2.65,18418,20.9,10596,40340,1651299,35.5,5513.99
5001,"Arkansas County","Arkansas",19019,20749,6,23.3,16.4,51.5,24.5,2.7,71,81,1.6,3,79.4,14.3,14.7,64.4,10.9,78900,2.28,22142,18.9,14825,37230,240068,19.2,988.77
5003,"Ashley County","Arkansas",21853,24209,6.5,24.4,16.2,51.5,25.8,4.9,68.2,85.3,2,4,81.1,13.7,18.6,72.4,8.5,62100,2.46,18779,18.5,7673,34934,215103,23.6,925.35
5005,"Baxter County","Arkansas",41513,38386,4.9,18.1,28.1,51.8,0.2,1.7,96,81.8,1.9,2.7,83.7,14.5,17.1,76.6,10.1,118400,2.17,21513,15.5,11633,35606,392298,74.9,554.28
5007,"Benton County","Arkansas",221339,153406,8.1,27.9,12.2,50.7,1.3,15.5,76.6,80.9,9.5,14.8,84.2,25.9,20.8,70.1,15.6,155000,2.63,25186,11.7,11332,50434,923179,261.2,847.36
5009,"Boone County","Arkansas",36903,33948,6.1,23.3,18.1,51,0.2,1.8,95.2,83.3,1,2.3,83.8,14.5,19.7,72.7,12.1,105700,2.53,20507,16,12738,36977,296431,62.5,590.23
5011,"Bradley County","Arkansas",11508,12600,6.7,23.3,17.7,51.5,27.6,13.2,58,85,6.8,11.2,69.4,12.7,17.2,70.2,8,64800,2.24,18845,30.4,5978,29908,123471,17.7,649.23
5013,"Calhoun County","Arkansas",5368,5744,4.9,20.5,17.2,49.3,22.2,2.8,73.4,90.7,1.4,3.9,77.8,6.6,26.1,82.1,2.4,51700,2.6,16457,11.9,3263,32450,268464,8.5,628.58
5015,"Carroll County","Arkansas",27446,25357,5.9,22.5,18.7,50.7,0.4,12.7,84,83.8,7.3,11.4,79,17.4,19.1,69.5,11.6,119500,2.28,19743,17.2,9728,34235,185213,43.6,630.09
5017,"Chicot County","Arkansas",11800,14117,6.9,23.1,18.2,50.9,54.1,4.6,40.3,87.3,2.3,4.3,69.3,12.6,21,69.6,10,50700,2.4,14668,34.1,5446,21676,192851,18.3,644.3
5019,"Clark County","Arkansas",22995,23546,5.4,19.5,14.8,52.3,23.5,4,70.4,78.9,2.2,4.2,83.1,21.7,21,67.6,15.9,78900,2.31,17186,23.8,10461,31968,210392,26.6,866.07
5021,"Clay County","Arkansas",16083,17609,5.6,22.3,20,51.1,0.3,1.3,96.9,87.1,0.4,1.2,73.1,8.8,22.6,74,8.1,59800,2.4,18892,18.7,8255,29066,186757,25.2,639.47
5023,"Cleburne County","Arkansas",25970,24046,5.3,19.9,23.6,50.8,0.3,2,95.9,82.6,1.4,2.2,79.1,13.8,23.9,77.9,5.7,110000,2.31,20371,17.4,11169,35753,232506,46.9,553.69
5025,"Cleveland County","Arkansas",8689,8571,6.8,24.8,16.3,50.7,12.2,1.7,85.1,92.9,0.3,0.8,85.9,14,26.2,78,3.1,66900,2.65,19481,15.1,1404,36957,65992,14.5,597.78
5027,"Columbia County","Arkansas",24552,25603,6,22.8,16,52.3,36.9,2.2,59.2,83.9,2.3,3.2,83.7,20.8,17.9,69.8,11.4,76700,2.35,20110,22.9,8143,35148,238163,32.1,766.05
5029,"Conway County","Arkansas",21273,20336,6.6,24.2,16.9,50.5,11.2,3.6,82.4,87.3,1.9,2.7,82.7,13.8,23.8,75.8,6.3,82100,2.55,19909,17,13074,32700,189584,38.5,552.25
5031,"Craighead County","Arkansas",96443,82148,7.3,25,12.2,51.2,13.1,4.4,79.6,77,3.2,4.7,83.3,23.1,17.8,61.2,20,107300,2.52,21728,19.4,15768,39233,652407,136.4,707.21
